,name,path,variable,size,seed,lr,iter,constrain,dist_weight,ale_l2,ale_l1,ale_max_diff,ale_rho,pd_l2,pd_l1,pd_max_diff,pd_rho
0,heart,results_final/heart/age_32_8_gradient_0.1_50_0.1/,age,32,8,0.1,50,False,0.1,0.008623345673258839,0.008623345673258839,0.01977737597888332,0.9479843953185956,0.009085536,0.009085536,0.017476201,0.9818181818181818
0,titanic,results_final/titanic/Age_64_7_gradient_0.1_50_10.0/,Age,64,7,0.1,50,False,10.0,0.002231375659426295,0.002231375659426295,0.008047027794591932,0.9922027290448343,0.0047873883,0.0047873883,0.0082733035,0.9987012987012988
0,bike,results_final/bike/atemp_32_8_gradient_0.1_50_0.01/,atemp,32,8,0.1,50,False,0.01,0.0785684178965021,0.0785684178965021,0.15199139901450945,-0.10851202079272254,0.12329433,0.12329433,0.2467446,-0.9246753246753248
0,xor,results_final/xor/x1_128_8_gradient_0.1_50_0.001/,x1,128,8,0.1,50,False,0.001,0.06295081487808406,0.06295081487808406,0.08586437342615301,0.8036410923276982,0.058222048,0.058222048,0.09671235,-0.9038961038961039
0,heart,results_final/heart/age_32_8_gradient_0.1_50_1.0/,age,32,8,0.1,50,False,1.0,0.0019566694351291288,0.0019566694351291288,0.007181480223085155,0.9973992197659296,0.001902586,0.001902586,0.0035094619,0.9987012987012988
0,titanic,results_final/titanic/Fare_64_7_gradient_0.1_50_10.0/,Fare,64,7,0.1,50,False,10.0,0.008058520174139465,0.008058520174139465,0.011364404198060021,0.936530324400564,0.0094919065,0.0094919065,0.02028349,1.0
0,titanic,results_final/titanic/Age_128_7_gradient_0.1_50_0.0/,Age,128,7,0.1,50,False,0.0,0.14213779969804333,0.14213779969804333,0.32817868436713216,-0.8596491228070176,0.14846423,0.14846423,0.42854208,-0.996103896103896
0,xor,results_final/xor/x1_128_8_gradient_0.1_50_0.01/,x1,128,8,0.1,50,False,0.01,0.06300046927543297,0.06300046927543297,0.08160452656037503,0.8725617685305591,0.05513244,0.05513244,0.09203228,-0.7597402597402596
0,bike,results_final/bike/atemp_32_8_gradient_0.1_50_0.1/,atemp,32,8,0.1,50,False,0.1,0.08392324016468664,0.08392324016468664,0.1778760574055778,-0.14489928525016244,0.12787583,0.12787583,0.24662831,-0.9779220779220777
0,adult,results_final/adult/age_128_6_gradient_0.1_50_1.0/,age,128,6,0.1,50,False,1.0,0.012811524380835545,0.012811524380835545,0.02285153144568164,0.7946718648473036,0.01778879,0.01778879,0.030013472,0.9909090909090909
0,heart,results_final/heart/age_32_8_gradient_0.1_50_10.0/,age,32,8,0.1,50,False,10.0,0.0012919623465660896,0.0012919623465660896,0.004685210696032213,0.9934980494148243,0.0007772616,0.0007772616,0.0012395382,0.9974025974025975
